texto;etiqueta
¡GANA un iPhone gratis! Pulsa aquí para reclamar;spam
Hola, ¿vienes mañana a clase?;no_spam
Oferta limitada: 90% descuento en zapatillas, compra ya;spam
Te adjunto el documento del proyecto para revisarlo;no_spam
Has sido seleccionado para un premio. Responde con tus datos;spam
¿Puedes pasarme los apuntes del tema 6?;no_spam
URGENTE: tu cuenta será bloqueada, verifica tu contraseña aquí;spam
Quedamos a las 17:00 para hacer el trabajo en grupo;no_spam
Crédito rápido aprobado. Haz clic para recibir el dinero;spam
Reunión con el profesor el jueves a primera hora;no_spam
Descarga música gratis, sin límites. Entra ahora;spam
¿Has visto el correo del coordinador?;no_spam
Felicidades, has ganado 500€. Entra en este enlace;spam
Te recuerdo que mañana hay examen;no_spam
Promoción exclusiva: suscríbete y recibe regalos;spam
¿Me confirmas si has entregado la práctica?;no_spam
